SECTION,QUESTION,ANSWER
E-Commerce,What products are displayed on the site?,Not all P21 products are in the PIM. Guest users see a GLOBAL CATALOG of all items across all Conklin warehouses. Logged-in users see their respective branch catalog but can change locations to view other warehouses. Products can be added or removed upon request. Sort order is customizable.
E-Commerce,What is the Taxonomy and why does it matter?,"Each product is assigned a category within Conklin's custom taxonomy. This aids user navigation and search, and improves SEO (Search Engine Optimization)."
E-Commerce,What data is stored in P21 vs the PIM?,"P21 stores: Inventory, Pricing, Item Class, Weights, GL data. PIM stores: Product Images, Taxonomy Categories, Attributes such as dimensions, thickness, gauge, and diameter."
E-Commerce,How are product titles determined?,"Product titles are based on Conklin's P21 Extended Descriptions. This data does not sync automatically and must be revised manually. If a product title needs to be changed, notify the Item Maintenance team, Jennifer Ho (PIM Manager), and Justin Evans."
E-Commerce,How are brands assigned to products?,"Brands are determined by P21 data. Only one brand can be assigned per item code in the PIM. Generic products such as Sheet Metal, Spiral Pipe, and Fittings will intentionally not display a brand."
E-Commerce,Where did the product data come from and what do the badges mean?,Product pages may show a badge on the lower right of the image indicating the data source: AD = Affiliated Distributors content subscription. Unilog = Unilog content subscription. No badge = Conklin data enriched in-house.
E-Commerce,What pricing do guest users see?,Unauthenticated guest users see P21 Price Sheet 10 (P10 / List Price that mirrors P1) by default.
E-Commerce,How do customers see their special pricing?,Customers must be logged in to view their contract or P21 Price Sheet pricing.
E-Commerce,What products require a quote and cannot be ordered online?,Sheet Metal: Prices are NOT displayed and requires a quote - customers cannot checkout online. Machinery: Prices ARE displayed but still requires a quote - customers cannot checkout online.
E-Commerce,Who can place an order online?,A P21 account and website login are both required to checkout and place orders. Guest users will be prompted to sign up for an account when they attempt to checkout.
E-Commerce,How is inventory displayed on the site?,Inventory is displayed as In Stock or Out of Stock - the actual count is hidden from customer view.
E-Commerce,How does inventory allocation work when an order is placed online?,Inventory is immediately allocated in P21 once an order is submitted online. If online orders cause strain on branch inventory levels we have the option to adjust the threshold so items display as Out of Stock once inventory reaches a pre-designated percentage.
E-Commerce,How do consignment warehouses work with E-Commerce?,Consignment warehouses are NOT supported on the E-Commerce platform. Customers with inventory on consignment must place orders through the branch directly.
E-Commerce,Can customers pay invoices online?,Not yet. This will be handled via a separate portal that will be linked on the site once available. Details TBA from Accounting.
E-Commerce,Where do all emails go during testing?,"All emails during testing go to ecomm@conklinmetal.com - this includes new account registrations, RFQs, and order confirmations. If you sign up using a Conklin or personal email address you will NOT receive automated emails."
E-Commerce,What database does the sandbox testing site use?,The sandbox testing site uses a P21 test database with data similar to but separate from the live P21 data. This database is also used for other testing such as the Cycle Count app.
E-Commerce,What is a Web Reference Number?,A Web Reference Number is generated for each online order in addition to the P21 SO#. See the Source Type/ID field in P21.
E-Commerce,What are the current known issues with the E-Commerce site?,"Known issues: RFQ email confirmation is missing data including products, quantities, and descriptions. Refine results search does not allow for partial match. Facebook embed on homepage does not always appear and is being replaced with an Instagram embed."
Who's Who,Who handles IT support and technical issues?,"Contact the IT Department: Derek (Technical Analyst, Ext. 2050) is the first point of contact for most issues including Sage, Outlook, Office, file permissions, email, and phones - all technical questions should be routed through Derek first. Randy (Business Intelligence Analyst) handles business data questions, Phocas/Tableau/SQL dashboards, and reports. The IT Director (Ext. 1694) oversees asset management, purchasing, vendor contracts, and server/network management."
Who's Who,Who handles accounting and finance questions?,"Contact the Accounting Department: Controller (Ext. 2003) oversees AP/AR, month-end closing, journal entries, auditing, business licenses, and property taxes. Assistant Controller (Ext. 2044) handles Amex cards, Concur expense management, payroll wires, fixed assets and depreciation, sales and use tax, and bank reconciliations."
Who's Who,Who handles credit collections and new accounts?,"Contact the Credit Department: Credit Manager Jean (Ext. 2001) reviews terms accounts, sets credit lines, manages collections, lien waivers, credit meetings, NACM reporting, and new COD/terms/job accounts. Credit Assistant Tonni (Ext. 2013) releases orders, processes finance charges, handles electronic payments, and sends invoice copies."
Who's Who,Who handles HR hiring and payroll questions?,"Contact Human Resources: The Director of HR handles high-level HR issues and compliance, payroll, benefits administration, annual reviews, and sensitive HR matters. The HR Manager handles day-to-day HR matters, recruitment, job postings, onboarding/offboarding, culture initiatives, drug screenings, and general Paycom/benefits questions."
Who's Who,Who handles steel purchasing and mill orders?,"Contact Purchasing: Purchasing Manager - Steel, Ext. 1614 handles steel POs, mill orders, inventory management, mill certs, steel warranties and claims, and spot orders. The Supplies Purchasing Manager handles HVAC Fab Supplies, Air Distribution Supplies, and Machinery inventory including vendors Ductmate, Durodyne, and Greenseam."
Who's Who,Who handles pricing item maintenance and contracts?,"Contact the Pricing Team: The Pricing Manager leads item maintenance, item descriptions, UOM issues, new item creation, price sheet updates, contract creation, and low margin order review. The Product and Pricing Coordinator (Ext. 1230) handles vendor pricing in location costs, adding new inventory items, and insulation and flex duct purchasing."
Who's Who,Who handles marketing the website and social media?,"Contact the Marketing Director who manages the website (product/pricing updates, spec sheets, item codes, blogs), website sales and chat support, social media (Instagram, Facebook, YouTube, Twitter, LinkedIn, TikTok), newsletters via MailChimp, graphic design including linecards, flyers, and calendars, and Google/Apple Maps listings."
Who's Who,Who handles safety incidents and OSHA compliance?,"Contact the Corporate Safety Manager (Ext. 2002) who is the first point of contact for ALL incidents (auto or occupational), work-related injuries, OSHA inquiries, safety training, fleet compliance, DOT/FMCSA inquiries, Samsara fleet management, and PPE/warehouse safety supply management."
Who's Who,Who leads the sales organization?,"Sales Leadership: Director of Sales and Business Development oversees market strategy, vendor rebate negotiations, TM hiring and training, territory reviews, and industry events. One Regional Sales Manager covers Memphis TN, Nashville TN, Birmingham AL, and Little Rock AR. Another Regional Sales Manager covers Charlotte NC, Greenville SC, Knoxville TN, and Georgia branches."
Who's Who,Who is the executive leadership team?,"Executive leadership: President/CEO manages overall culture, strategy, and company performance, oversees steel purchasing strategy and pricing, and represents Conklin at AD (HVAC Board Member) and HARDI (Sheet Metal Council Chair). Executive Vice President oversees Sales and Territory Managers, manages customer relationships at the corporate level, and manages the Conklin website. Vice President of Operations has ultimate responsibility for all 15 facilities, manages all branch managers, logistics, and the IT department."
Who's Who,Who do I contact for E-Commerce questions or issues?,"For E-Commerce questions email ecomm@conklinmetal.com. This inbox receives all test emails including new account registrations, RFQs, and order confirmations. For PIM or product content questions contact Jennifer and Justin."
Who's Who,Who is the executive assistant?,The Executive Assistant to Harry (President/CEO) can be reached at Extension 1693.
Employee Handbook,What is the revision date of the current Employee Handbook?,"The current Conklin Employee Handbook is revised April 15, 2025."
Employee Handbook,Does the Employee Handbook create an employment contract?,"No. The handbook is for informational purposes only, may be changed at any time, and does not create a contract of employment."
Employee Handbook,Is employment at Conklin at-will?,"Yes. Conklin is an at-will employer, so employment may be terminated at any time, with or without cause or notice, by either the employee or the company unless a written agreement signed by a company officer says otherwise."
Employee Handbook,What is Conklin's equal employment opportunity policy?,"Conklin provides equal employment opportunity regardless of race, color, religion, sex, age, national origin or ancestry, disability, veteran status, citizenship status, or any other characteristic protected by law. The policy applies to recruiting, hiring, compensation, benefits, promotion, training, termination, and other employment practices."
Employee Handbook,How does Conklin handle reasonable accommodation under the ADA?,Conklin will reasonably accommodate qualified applicants and employees with disabilities so they can perform the essential functions of the job unless the accommodation creates a direct threat or an undue hardship. Employees should contact Human Resources with questions or accommodation requests.
Workplace Expectations,What kinds of conduct can lead to discipline or termination?,"Examples include theft, falsifying timekeeping or company records, working under the influence, insubordination, safety violations, poor attendance, unauthorized disclosure of confidential information, policy violations, and other disruptive or unsatisfactory conduct."
Workplace Expectations,What information is considered confidential?,"Customer lists, databases, and proprietary customer information must remain confidential. Employees should avoid casual conversations that could disclose privileged company information."
Workplace Expectations,What is the conflict of interest policy?,"Employees must avoid situations where personal interests could conflict with the company's interests. Any potential conflict, including situations involving immediate family members, should be disclosed so the company can assess it."
Workplace Expectations,Can employees work another job while employed at Conklin?,"Yes, if the outside work does not hurt attendance or performance and the other company is not a Conklin customer, competitor, or supplier. Employees should check with their supervisor before accepting outside work."
Workplace Expectations,"What are the rules for company computers, email, internet, and software?","Company technology is for business use. Personal use must be limited and cannot interfere with work. Unauthorized software, including games, screensavers, and personal utilities, is prohibited and may be removed by IT."
Workplace Expectations,Do employees have privacy rights on company technology and company-sponsored phones?,"No. Employees should have no expectation of privacy for communications or information stored in, created on, received on, or sent over company systems or company-sponsored phones. The company may monitor, review, and access these systems without notice."
Workplace Expectations,What are the social media and internet posting rules?,"If employees reference Conklin, coworkers, or business partners online, they must make clear the views are their own. Employees should not post office photos or disparaging comments about employees or customers."
Workplace Expectations,What are the password and system security expectations?,"Employees must keep passwords secure, update them regularly, and never share usernames or passwords. Hardware, software, and security settings may not be installed or modified without IT approval."
Workplace Expectations,Can Conklin use employee photos for marketing?,"Yes, the handbook states the company may use employee photographs for marketing and promotion, including the website and social media. Employees may decline or later withdraw consent by notifying Human Resources."
Workplace Expectations,What is the company logo usage expectation?,Employees are expected to follow the company logo usage guidelines and refer to the Logo Usage Guide for details.
Workplace Expectations,What is the cell phone policy during the workday?,"Personal cell phone use should be limited to breaks and lunch. Excessive personal calls, texts, chat messages, or emails during work hours are discouraged because they can affect productivity."
Workplace Expectations,"What is the dress code for office, warehouse, drivers, and remote employees?","Office employees should dress business casual; jeans are allowed if they are not excessively ripped or faded. Warehouse employees and drivers must wear long pants, steel-toed boots, company-appropriate shirts, and required PPE. Remote employees should follow the office business casual standard for video meetings and keep a tidy or virtual background."
Workplace Expectations,"How do employees report harassment, discrimination, or retaliation?","Employees should promptly report concerns to a manager, Human Resources, or any member of the Executive Team. Conklin says it will promptly investigate complaints and prohibits retaliation for making a complaint or participating in an investigation."
Workplace Safety,What is Conklin's drug-free workplace policy?,"Employees must report to work fit for duty and may not use, possess, distribute, or be under the influence of alcohol, controlled substances, unauthorized drugs, or drug paraphernalia on company premises, in company vehicles, or while conducting company business."
Workplace Safety,Does Conklin conduct drug testing?,"Yes. Conklin reserves the right to conduct random testing as needed, and all DOT drivers are subject to random testing throughout the year."
Workplace Safety,What is the tobacco-free workplace policy?,"Smoking and smokeless tobacco are prohibited in warehouses, office areas, and company-issued vehicles. Employees may smoke or chew only before work, after work, or during breaks outside the facility and away from entryways."
Workplace Safety,What is the violence-free workplace policy?,"Threats, threatening language, aggression, violence, and weapons on company property or at company-sponsored events are not tolerated, subject to applicable law. Employees must report violence to Human Resources or management."
Workplace Safety,What are the rules for company vehicles and cell phone use while driving?,"Drivers must follow the Safety Manual and annual MVR review requirements. While driving, employees must be hands-free, may not text or email, may not use more than one button to dial or answer, and may not reach for a device by leaving the normal driving position. Emergency 911 calls are the only exception."
Workplace Safety,What should employees do if they are injured on the job?,"Any work-related injury or accident must be reported immediately to a supervisor. Workers' compensation applies to injuries incurred while performing assigned job duties during assigned work hours, but not to injuries caused by willful misconduct such as fighting, horseplay, or alcohol/drug abuse."
Compensation & Benefits,When are hourly and salaried employees paid?,Hourly employees are paid weekly on Fridays for hours earned the previous Monday through Friday. Salaried employees are paid on the 15th and the last working day of the month.
Compensation & Benefits,What benefits do full-time employees receive?,"Full-time employees working 30 or more hours per week are eligible for medical, dental, vision, company-paid life and AD&D, optional supplemental life and AD&D, short-term disability, long-term disability, a 401(k), HSA, EAP, PTO, and holidays."
Compensation & Benefits,What benefits do part-time employees receive?,Part-time employees working fewer than 30 hours per week are eligible for the 401(k) Retirement Plan and the Employee Assistance Program (EAP).
Compensation & Benefits,How does the 401(k) plan work?,"Employees become eligible on the first day of the month after 60 days of employment. Conklin automatically enrolls employees at a 4% contribution rate, matches 100% of the first 4% contributed each pay period under the Safe Harbor provision, and vests employee contributions and the employer match immediately."
Compensation & Benefits,When can new hires start using PTO?,New hires are not eligible to take PTO until they complete 60 days of service.
Compensation & Benefits,How much PTO do employees receive?,"PTO for full-time regular employees is based on service: first calendar year 80 hours prorated by hire date; 1-3 years 96 hours; 4-9 years 136 hours; 10-14 years 176 hours; 15 or more years 200 hours. New hires are prorated by quarter: Q1 80, Q2 60, Q3 40, Q4 20 hours."
Compensation & Benefits,Does PTO roll over or get paid out?,"PTO does not roll over. Active hourly employees may be paid out up to five unused PTO days at year end with manager approval. Upon separation, accrued and unused PTO is paid on the final paycheck based on full months of service in the calendar year and hours taken."
Compensation & Benefits,What holidays does Conklin observe?,"The handbook lists these holidays: New Year's Day, Martin Luther King Day, Good Friday, Memorial Day, Independence Day, Labor Day, Thanksgiving Day, the day after Thanksgiving, a Christmas Holiday, and Christmas Day. To be paid for a holiday, an employee generally must work the full day before and after unless approved otherwise."
Compensation & Benefits,What is the bereavement policy?,"Permanent employees receive three paid days for the death of an immediate family member, which includes a child, spouse, sibling, parent, grandparent, or in-law. One paid day is provided for other family members, with any additional time discussed with a supervisor."
Compensation & Benefits,How are jury duty and voting handled?,"Conklin pays regular earnings for required jury duty service and may require proof before paying for missed work time. The company also provides time for employees to vote in local, state, and federal elections."
Compensation & Benefits,What is the attendance policy?,Hourly employees are expected to be on time and must notify their supervisor before their start time if they will be late or absent. Any employee absent for three days without notification will be automatically terminated. Excessive absenteeism is grounds for termination.
Compensation & Benefits,Who is eligible for FMLA and where does it currently apply?,"Employees are eligible for unpaid FMLA leave if they have at least 12 cumulative months of service, 1,250 hours worked in the prior 12 months, and work at a location meeting the 50 employees within 75 miles rule. The handbook states FMLA currently applies only to the Atlanta area branches."
Compensation & Benefits,What parental leave programs are available?,"The handbook describes maternity leave through short-term disability for up to 12 weeks at 60% of wages, supplemental maternity leave of up to 7 weeks at 40% for employees with at least 1 year of service, additional maternity leave of up to 2 weeks at 100% for employees with at least 5 years of service, and 1 week of parental bonding leave at 100% for employees with at least 1 year of service."
Compensation & Benefits,How do medical benefits and COBRA work during a leave of absence?,"Medical, dental, and vision coverage stops at the end of the month employment ends and COBRA is then available. During an approved leave of absence without a paycheck, the employee must pay premiums directly to the company monthly. The company continues paying the employer medical portion for up to 12 cumulative weeks in a rolling 12-month period, after which COBRA enrollment options are provided."
Compensation & Benefits,What company property must be returned when employment ends?,"Upon separation, employees must return all company property, including computers, laptops, phones, keys, fobs, and uniforms. If property is not returned, Conklin may deduct the value from the final paycheck as allowed by state and local law."
