SECTION,QUESTION,ANSWER
E-Commerce,What products are displayed on the site?,Not all P21 products are in the PIM. Guest users see a GLOBAL CATALOG of all items across all Conklin warehouses. Logged-in users see their respective branch catalog but can change locations to view other warehouses. Products can be added or removed upon request. Sort order is customizable.
E-Commerce,What is the Taxonomy and why does it matter?,"Each product is assigned a category within Conklin's custom taxonomy. This aids user navigation and search, and improves SEO (Search Engine Optimization)."
E-Commerce,What data is stored in P21 vs the PIM?,"P21 stores: Inventory, Pricing, Item Class, Weights, GL data. PIM stores: Product Images, Taxonomy Categories, Attributes such as dimensions, thickness, gauge, and diameter."
E-Commerce,How are product titles determined?,"Product titles are based on Conklin's P21 Extended Descriptions. This data does not sync automatically and must be revised manually. If a product title needs to be changed, notify the Item Maintenance team, Jennifer Ho (PIM Manager), and Justin Evans."
E-Commerce,How are brands assigned to products?,"Brands are determined by P21 data. Only one brand can be assigned per item code in the PIM. Generic products such as Sheet Metal, Spiral Pipe, and Fittings will intentionally not display a brand."
E-Commerce,Where did the product data come from and what do the badges mean?,Product pages may show a badge on the lower right of the image indicating the data source: AD = Affiliated Distributors content subscription. Unilog = Unilog content subscription. No badge = Conklin data enriched in-house.
E-Commerce,What pricing do guest users see?,Unauthenticated guest users see P21 Price Sheet 10 (P10 / List Price that mirrors P1) by default.
E-Commerce,How do customers see their special pricing?,Customers must be logged in to view their contract or P21 Price Sheet pricing.
E-Commerce,What products require a quote and cannot be ordered online?,Sheet Metal: Prices are NOT displayed and requires a quote - customers cannot checkout online. Machinery: Prices ARE displayed but still requires a quote - customers cannot checkout online.
E-Commerce,Who can place an order online?,A P21 account and website login are both required to checkout and place orders. Guest users will be prompted to sign up for an account when they attempt to checkout.
E-Commerce,How is inventory displayed on the site?,Inventory is displayed as In Stock or Out of Stock - the actual count is hidden from customer view.
E-Commerce,How does inventory allocation work when an order is placed online?,Inventory is immediately allocated in P21 once an order is submitted online. If online orders cause strain on branch inventory levels we have the option to adjust the threshold so items display as Out of Stock once inventory reaches a pre-designated percentage.
E-Commerce,How do consignment warehouses work with E-Commerce?,Consignment warehouses are NOT supported on the E-Commerce platform. Customers with inventory on consignment must place orders through the branch directly.
E-Commerce,Can customers pay invoices online?,Not yet. This will be handled via a separate portal that will be linked on the site once available. Details TBA from Accounting.
E-Commerce,Where do all emails go during testing?,"All emails during testing go to ecomm@conklinmetal.com - this includes new account registrations, RFQs, and order confirmations. If you sign up using a Conklin or personal email address you will NOT receive automated emails."
E-Commerce,What database does the sandbox testing site use?,The sandbox testing site uses a P21 test database with data similar to but separate from the live P21 data. This database is also used for other testing such as the Cycle Count app.
E-Commerce,What is a Web Reference Number?,A Web Reference Number is generated for each online order in addition to the P21 SO#. See the Source Type/ID field in P21.
E-Commerce,What are the current known issues with the E-Commerce site?,"Known issues: RFQ email confirmation is missing data including products, quantities, and descriptions. Refine results search does not allow for partial match. Facebook embed on homepage does not always appear and is being replaced with an Instagram embed."
Who's Who,Who handles IT support and technical issues?,"Contact the IT Department: Derek (Technical Analyst, Ext. 2050) is the first point of contact for most issues including Sage, Outlook, Office, file permissions, email, and phones - all technical questions should be routed through Derek first. Randy (Business Intelligence Analyst) handles business data questions, Phocas/Tableau/SQL dashboards, and reports. The IT Director (Ext. 1694) oversees asset management, purchasing, vendor contracts, and server/network management."
Who's Who,Who handles accounting and finance questions?,"Contact the Accounting Department: Controller (Ext. 2003) oversees AP/AR, month-end closing, journal entries, auditing, business licenses, and property taxes. Assistant Controller (Ext. 2044) handles Amex cards, Concur expense management, payroll wires, fixed assets and depreciation, sales and use tax, and bank reconciliations."
Who's Who,Who handles credit collections and new accounts?,"Contact the Credit Department: Credit Manager Jean (Ext. 2001) reviews terms accounts, sets credit lines, manages collections, lien waivers, credit meetings, NACM reporting, and new COD/terms/job accounts. Credit Assistant Tonni (Ext. 2013) releases orders, processes finance charges, handles electronic payments, and sends invoice copies."
Who's Who,Who handles HR hiring and payroll questions?,"Contact Human Resources: The Director of HR handles high-level HR issues and compliance, payroll, benefits administration, annual reviews, and sensitive HR matters. The HR Manager handles day-to-day HR matters, recruitment, job postings, onboarding/offboarding, culture initiatives, drug screenings, and general Paycom/benefits questions."
Who's Who,Who handles steel purchasing and mill orders?,"Contact Purchasing: Purchasing Manager - Steel, Ext. 1614 handles steel POs, mill orders, inventory management, mill certs, steel warranties and claims, and spot orders. The Supplies Purchasing Manager handles HVAC Fab Supplies, Air Distribution Supplies, and Machinery inventory including vendors Ductmate, Durodyne, and Greenseam."
Who's Who,Who handles pricing item maintenance and contracts?,"Contact the Pricing Team: The Pricing Manager leads item maintenance, item descriptions, UOM issues, new item creation, price sheet updates, contract creation, and low margin order review. The Product and Pricing Coordinator (Ext. 1230) handles vendor pricing in location costs, adding new inventory items, and insulation and flex duct purchasing."
Who's Who,Who handles marketing the website and social media?,"Contact the Marketing Director who manages the website (product/pricing updates, spec sheets, item codes, blogs), website sales and chat support, social media (Instagram, Facebook, YouTube, Twitter, LinkedIn, TikTok), newsletters via MailChimp, graphic design including linecards, flyers, and calendars, and Google/Apple Maps listings."
Who's Who,Who handles safety incidents and OSHA compliance?,"Contact the Corporate Safety Manager (Ext. 2002) who is the first point of contact for ALL incidents (auto or occupational), work-related injuries, OSHA inquiries, safety training, fleet compliance, DOT/FMCSA inquiries, Samsara fleet management, and PPE/warehouse safety supply management."
Who's Who,Who leads the sales organization?,"Sales Leadership: Director of Sales and Business Development oversees market strategy, vendor rebate negotiations, TM hiring and training, territory reviews, and industry events. One Regional Sales Manager covers Memphis TN, Nashville TN, Birmingham AL, and Little Rock AR. Another Regional Sales Manager covers Charlotte NC, Greenville SC, Knoxville TN, and Georgia branches."
Who's Who,Who is the executive leadership team?,"Executive leadership: President/CEO manages overall culture, strategy, and company performance, oversees steel purchasing strategy and pricing, and represents Conklin at AD (HVAC Board Member) and HARDI (Sheet Metal Council Chair). Executive Vice President oversees Sales and Territory Managers, manages customer relationships at the corporate level, and manages the Conklin website. Vice President of Operations has ultimate responsibility for all 15 facilities, manages all branch managers, logistics, and the IT department."
Who's Who,Who do I contact for E-Commerce questions or issues?,"For E-Commerce questions email ecomm@conklinmetal.com. This inbox receives all test emails including new account registrations, RFQs, and order confirmations. For PIM or product content questions contact Jennifer and Justin."
Who's Who,Who is the executive assistant?,The Executive Assistant to Harry (President/CEO) can be reached at Extension 1693.
Operations,Which branch gets credit for a sale when shipping directly to a customer?,The branch that ships directly to the customer gets credit. Ship via UPS directly to the customer instead of using a transfer.
Operations,Should intracompany branch transfers be used regularly?,"No, avoid intracompany branch transfers whenever possible because they make it difficult to determine min/max levels. Exceptions include dead stock."
Inventory,What should you do if your branch frequently runs out of items?,Contact Purchasing to increase your stock levels.
Receiving,What should you do if you receive damaged products?,Include photos of the damage when reporting damaged products from a vendor or branch transfer.
Email Etiquette,Should you use Reply All when a customer is on the email?,"No, be careful not to Reply All when a customer is included."
Email Etiquette,What should you watch for when addressing emails?,Ensure your email does not auto-populate with the wrong person and avoid CC’ing customers unintentionally.
Email Etiquette,What should every email include?,Every email should have a clear subject line.
Email Etiquette,How can you improve response rates in group emails?,Address the email to a specific person when a reply is needed.
Email Etiquette,Should you send unnecessary follow-up emails like 'thank you'?,"No, avoid prolonging email threads with unnecessary replies and remove uninvolved recipients when appropriate."
Sales,"What is the payment requirement for machinery sales over $7,500?","They must be paid prior to shipping, unless an exception is approved by Harry or the Regional Sales Manager."
